gpt2_small_pos_DSSS1,gpt2_small_neg_DSS1,gpt2_small_pos_DSS2,gpt2_small_neg_DSS2,gpt2_small_MB_GSS1,gpt2_small_FB_GSS1,gpt2_small_MB_GSS2,gpt2_small_FB_GSS2
a11.h3->m11,a2.h1->a4.h8<q>,m0->a2.h10<v>,m0->a11.h7<v>,a0.h10->m6,m4->a10.h5<v>,a6.h4->m7,a0.h8->m8
a6.h5->m8,a1.h10->a3.h6<k>,a2.h7->m6,a5.h11->m6,a2.h1->a3.h1<v>,m5->m10,a1.h11->m6,m0->a2.h11<v>
a1.h2->a9.h3<q>,a0.h10->m5,a1.h10->m4,a4.h11->m5,a8.h3->m8,a10.h8->logits,a6.h4->m11,a3.h10->m9
a1.h7->logits,a0.h10->a4.h6<k>,m2->m9,a1.h10->a9.h3<k>,a3.h10->a4.h7<v>,a2.h3->m9,input->a3.h11<k>,a4.h7->logits
m5->a8.h10<q>,m5->a10.h4<k>,a10.h10->a11.h10<q>,a3.h9->logits,a10.h4->m11,a1.h8->a9.h7<q>,m7->a8.h0<q>,a6.h5->m7
a4.h2->m5,m0->a2.h6<q>,a0.h7->m7,a6.h8->m6,m0->a11.h0<k>,a0.h10->a6.h8<q>,a1.h7->m7,m7->m11
a6.h6->logits,a11.h5->logits,m6->m8,a3.h1->m3,a4.h11->m6,input->a3.h11<k>,input->a3.h10<k>,m1->a4.h8<q>
a11.h3->logits,a0.h9->a3.h10<q>,m10->a11.h0<k>,a11.h7->m11,input->a0.h4<q>,m6->a8.h9<q>,m0->a11.h0<v>,m1->a3.h2<k>
a1.h1->a8.h10<q>,m0->a10.h4<q>,a2.h1->m2,m10->a11.h0<k>,a5.h11->m9,a3.h10->m8,a8.h10->m9,a1.h10->a6.h8<q>
a0.h8->m3,m7->a11.h0<k>,a0.h1->m10,a4.h8->m11,a2.h5->m4,m3->a4.h2<k>,a4.h4->logits,a1.h8->a9.h7<k>
a3.h10->a4.h7<v>,input->m0,m0->a2.h0<v>,m7->a11.h4<q>,a0.h5->logits,a0.h5->m6,a10.h9->m11,a2.h3->a4.h8<q>
a9.h8->logits,m0->a2.h9<k>,a4.h7->m11,a7.h5->logits,a2.h2->logits,a8.h10->m11,a0.h1->m8,a0.h3->m10
a1.h10->a10.h4<k>,a0.h8->m6,a5.h11->m8,m0->a11.h4<v>,a3.h0->m6,a6.h3->logits,a3.h5->m6,a3.h8->m3
m7->a11.h0<v>,input->m11,a6.h0->m7,a0.h4->m11,m0->a11.h0<v>,a0.h9->a3.h10<k>,a1.h8->a6.h5<q>,m1->a5.h4<q>
m1->a3.h2<q>,a1.h10->a7.h4<q>,m7->a11.h0<q>,m0->a2.h5<v>,a0.h3->m3,m0->a11.h1<v>,a1.h8->a4.h5<q>,m7->a8.h0<q>
m5->a6.h4<k>,input->a4.h6<k>,m9->a11.h0<v>,m0->a1.h6<q>,a1.h8->a9.h7<k>,input->a3.h2<k>,a8.h9->m8,a8.h0->m9
a3.h2->m3,a1.h4->a3.h7<k>,a1.h8->a8.h5<q>,m5->a8.h0<v>,input->a3.h1<k>,a1.h8->a9.h3<q>,a6.h5->m8,m1->a6.h5<k>
a0.h4->m0,m0->a4.h6<k>,a8.h0->m8,a8.h0->m9,a4.h6->m5,a2.h7->m3,m0->a5.h6<k>,a0.h4->m5
a0.h8->a4.h8<q>,a3.h6->m4,a1.h8->m6,a5.h9->logits,a0.h10->a3.h10<k>,a6.h4->m7,a2.h7->m3,a1.h10->a7.h4<q>
a0.h8->a6.h8<q>,a2.h8->m3,a0.h9->m6,a4.h5->m7,input->a0.h8<q>,m5->a6.h6<q>,a3.h10->m4,a3.h0->m4
m0->a6.h5<k>,m1->a2.h6<q>,a0.h11->logits,a4.h2->m11,m1->a2.h11<q>,a2.h1->a3.h1<v>,a5.h11->m9,a1.h8->a4.h2<q>
a4.h6->m6,m2->m10,a3.h6->m4,m3->m5,m4->a5.h6<q>,a3.h7->m4,a1.h8->a6.h8<k>,input->m3
a3.h11->m4,a0.h6->m1,m0->a2.h10<k>,a4.h9->m5,a0.h7->a2.h11<q>,m0->a1.h1<k>,m5->a6.h6<q>,a6.h4->m7
a1.h10->a5.h3<q>,m9->m10,m10->a11.h8<q>,a1.h8->a3.h2<q>,m1->a4.h8<q>,a3.h10->m4,a2.h3->a4.h8<q>,a2.h6->m11
a11.h1->m11,a0.h1->logits,m0->a1.h8<q>,a5.h3->m9,m9->a10.h5<v>,a0.h9->a8.h10<q>,m1->a5.h4<q>,m6->a8.h0<k>
m1->a2.h9<v>,m2->a4.h7<v>,a2.h4->m5,m2->m4,m5->a6.h7<v>,m0->a4.h5<q>,a0.h10->m4,a1.h8->a4.h5<q>
a1.h7->m4,a3.h7->m3,a2.h1->m8,m1->a2.h6<v>,m6->a9.h7<q>,m9->a11.h4<k>,a2.h3->m9,a1.h7->m2
a1.h1->a9.h3<k>,a1.h1->m1,a2.h5->m5,m0->a10.h0<k>,a1.h1->logits,input->a0.h3<q>,m9->a11.h4<k>,a7.h5->logits
m0->a3.h1<k>,a1.h8->a3.h1<k>,m3->m7,a11.h5->logits,a2.h3->a4.h8<q>,a1.h9->m2,a0.h3->m10,a4.h4->logits
a2.h2->m2,a1.h1->a2.h10<v>,a1.h11->logits,a0.h9->a6.h2<q>,a0.h3->m5,m0->a2.h8<v>,a0.h9->m1,m1->a2.h11<q>
a1.h10->logits,a4.h7->m6,input->a3.h8<k>,input->a9.h3<q>,a11.h11->logits,a2.h6->m11,a4.h3->m4,a0.h1->m8
a2.h6->m11,a1.h8->a8.h10<k>,a4.h6->m8,a4.h10->m7,m2->m7,a2.h3->a4.h8<q>,a10.h2->logits,input->a3.h8<k>
a0.h2->m0,a1.h1->a10.h4<k>,a7.h4->m7,a5.h3->logits,m0->a1.h8<k>,a2.h2->logits,a1.h1->logits,m0->a10.h5<k>
a3.h0->a6.h6<q>,a1.h0->m2,m9->a11.h6<q>,m1->a6.h5<k>,a8.h0->m9,a3.h1->m3,a4.h11->m11,m0->a11.h1<v>
input->a3.h8<k>,a11.h3->m11,a4.h2->m8,a4.h9->m10,a3.h10->m8,a1.h6->m9,a11.h1->m11,m0->a8.h8<q>
m0->a2.h5<q>,a1.h1->logits,a3.h1->m3,a0.h8->m5,a0.h6->m4,a10.h0->m10,m3->logits,a0.h5->m6
input->a0.h10<v>,a0.h4->a3.h3<k>,a5.h6->logits,a10.h4->logits,m0->a2.h1<q>,a0.h10->a7.h4<q>,m6->a8.h0<k>,m5->a8.h2<q>
a1.h1->a3.h0<k>,a1.h8->a8.h9<q>,m1->a9.h7<q>,a3.h6->m6,a0.h9->a8.h10<q>,a0.h10->a5.h4<q>,a4.h6->m5,m4->a6.h4<q>
m2->a3.h8<v>,a1.h8->a2.h5<q>,a4.h10->logits,a3.h9->m5,m4->a11.h0<v>,a1.h8->a9.h7<k>,m5->a8.h10<q>,a1.h10->a8.h10<q>
m6->m11,a0.h10->a3.h10<k>,a6.h8->m6,a0.h5->logits,a0.h11->m0,m0->a2.h6<k>,a1.h11->m3,a0.h9->a6.h8<q>
a0.h9->a8.h10<k>,a11.h3->logits,a1.h10->a9.h7<q>,m1->a4.h0<q>,m9->a11.h4<k>,a6.h5->m7,m1->a4.h11<v>,a3.h0->a6.h6<q>
a0.h1->logits,input->a0.h10<k>,input->m5,a4.h4->m7,a5.h2->m7,a11.h9->logits,input->logits,a1.h1->m4
m8->a11.h0<v>,a1.h10->a5.h4<q>,a4.h11->m5,a0.h7->m7,m9->a10.h4<q>,a5.h2->m7,a0.h10->a6.h8<q>,a0.h5->m0
a1.h11->m5,a1.h1->a6.h5<q>,a8.h9->m9,a2.h8->m3,a0.h3->m10,m1->a3.h10<q>,a3.h1->m9,a4.h6->m7
a1.h1->a10.h4<q>,a0.h9->m11,a3.h9->m5,a0.h4->m7,a8.h8->m10,a3.h4->a4.h8<q>,a0.h9->a8.h10<q>,m2->a3.h10<v>
m0->logits,m0->a2.h7<q>,a1.h10->a8.h10<q>,a1.h1->m10,a1.h8->a4.h1<k>,a1.h10->a7.h4<q>,input->a0.h7<v>,a0.h3->m11
a1.h1->a6.h5<q>,a5.h9->m8,a2.h6->m3,input->a0.h9<k>,a1.h3->a2.h5<k>,m5->m8,a2.h9->m2,a11.h9->logits
a0.h10->logits,a0.h7->a2.h6<q>,m0->a3.h8<v>,m8->a11.h0<v>,m1->a10.h5<q>,m5->a6.h5<v>,a6.h5->m7,a1.h7->m5
a0.h8->a6.h5<q>,a0.h8->m8,a0.h3->m1,a10.h5->m11,m1->a2.h6<k>,a1.h8->a11.h8<k>,a2.h1->m6,a8.h10->m11
m0->a10.h4<v>,a1.h1->m9,m7->a11.h1<q>,a1.h8->a6.h8<q>,a0.h9->a3.h10<k>,m0->a1.h1<v>,a7.h5->logits,m6->a9.h7<q>
a3.h5->a6.h6<q>,a1.h3->a2.h8<k>,a8.h8->m8,a1.h11->m4,a1.h6->m8,a0.h3->m10,a1.h8->a4.h0<q>,a2.h6->m6
